"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"28540937","2340766","323","0.02","","","","","","",""
"28540960","2340766","609","0.011","","","","","","",""
"28540963","2340766","612","0.093","","","","","","",""
"28540953","2340766","435","2.0","","","","","","",""
"28540917","2340766","208","43.0","","","","","","",""
"28540952","2340766","432","2.0","","","","","","",""
"28540943","2340766","404","0.057","","","","","","",""
"28540948","2340766","418","0.61","","","","","","",""
"28540919","2340766","255","89.7","","","","","","",""
"28540936","2340766","322","0.0","","","","","","",""
"28540928","2340766","306","159.0","","","","","","",""
"28540967","2340766","618","0.033","","","","","","",""
"28540922","2340766","269","4.96","","","","","","",""
"28540918","2340766","221","0.0","","","","","","",""
"28540940","2340766","337","0.0","","","","","","",""
"28540925","2340766","303","0.0","","","","","","",""
"28540966","2340766","617","0.214","","","","","","",""
"28540969","2340766","620","0.001","","","","","","",""
"28540971","2340766","626","0.014","","","","","","",""
"28540972","2340766","627","0.0","","","","","","",""
"28540961","2340766","610","0.023","","","","","","",""
"28540949","2340766","421","17.4","","","","","","",""
"28540930","2340766","309","0.43","","","","","","",""
"28540942","2340766","401","0.0","","","","","","",""
"28540923","2340766","291","0.0","","","","","","",""
"28540921","2340766","263","0.0","","","","","","",""
"28540964","2340766","613","0.265","","","","","","",""
"28540957","2340766","606","0.568","","","","","","",""
"28540915","2340766","204","0.95","","","","","","",""
"28540935","2340766","321","1.0","","","","","","",""
"28540914","2340766","203","3.38","","","","","","",""
"28540973","2340766","628","0.001","","","","","","",""
"28540976","2340766","631","0.0","","","","","","",""
"28540945","2340766","406","0.113","","","","","","",""
"28540962","2340766","611","0.026","","","","","","",""
"28540920","2340766","262","0.0","","","","","","",""
"28540958","2340766","607","0.022","","","","","","",""
"28540956","2340766","601","5.0","","","","","","",""
"28540939","2340766","334","0.0","","","","","","",""
"28540954","2340766","573","0.0","","","","","","",""
"28540978","2340766","646","0.032","","","","","","",""
"28540944","2340766","405","0.14","","","","","","",""
"28540968","2340766","619","0.004","","","","","","",""
"28540970","2340766","621","0.0","","","","","","",""
"28540975","2340766","630","0.0","","","","","","",""
"28540974","2340766","629","0.0","","","","","","",""
"28540933","2340766","319","58.0","","","","","","",""
"28540924","2340766","301","126.0","","","","","","",""
"28540934","2340766","320","58.0","","","","","","",""
"28541041","2340767","631","0.0","","","","","","",""
"28541039","2340767","629","0.0","","","","","","",""
"28541036","2340767","626","0.001","","","","","","",""
"28541028","2340767","612","0.008","","","","","","",""
"28541025","2340767","609","0.001","","","","","","",""
"28541040","2340767","630","0.0","","","","","","",""
"28541029","2340767","613","0.021","","","","","","",""
"28541027","2340767","611","0.002","","","","","","",""
"28541043","2340767","646","0.006","","","","","","",""
"28541030","2340767","614","0.009","","","","","","",""
"28541032","2340767","618","0.005","","","","","","",""
"28541026","2340767","610","0.002","","","","","","",""
"28541024","2340767","608","0.001","","","","","","",""
"28541033","2340767","619","0.0","","","","","","",""
"28541038","2340767","628","0.0","","","","","","",""
"28541035","2340767","621","0.0","","","","","","",""
"28541037","2340767","627","0.0","","","","","","",""
"28541031","2340767","617","0.018","","","","","","",""
"28541034","2340767","620","0.0","","","","","","",""
"28541042","2340767","645","0.017","","","","","","",""
"28540981","2340767","205","4.92","","","","","","",""
"28541002","2340767","323","0.0","","","","","","",""
"28541010","2340767","406","0.118","","","","","","",""
"28540986","2340767","263","0.0","","","","","","",""
"28540991","2340767","304","12.0","","","","","","",""
"28541015","2340767","430","0.0","","","","","","",""
"28541013","2340767","418","0.58","","","","","","",""
"28541008","2340767","404","0.056","","","","","","",""
"28541004","2340767","334","0.0","","","","","","",""
"28541014","2340767","421","18.2","","","","","","",""
"28540997","2340767","317","2.0","","","","","","",""
"28540993","2340767","306","167.0","","","","","","",""
"28540987","2340767","269","5.05","","","","","","",""
"28540979","2340767","203","3.43","","","","","","",""
"28541023","2340767","607","0.003","","","","","","",""
"28541000","2340767","321","2.0","","","","","","",""
"28540984","2340767","255","90.8","","","","","","",""
"28540983","2340767","221","0.0","","","","","","",""
"28541016","2340767","431","0.0","","","","","","",""
"28540999","2340767","320","64.0","","","","","","",""
"28540982","2340767","208","34.0","","","","","","",""
"28541005","2340767","337","0.0","","","","","","",""
"28541003","2340767","328","1.1","","","","","","",""
"28541018","2340767","435","2.0","","","","","","",""
"28540998","2340767","319","64.0","","","","","","",""
"28540988","2340767","291","0.0","","","","","","",""
"28540989","2340767","301","132.0","","","","","","",""
"28540995","2340767","309","0.45","","","","","","",""
"28541022","2340767","606","0.049","","","","","","",""
"28541006","2340767","338","0.0","","","","","","",""
"28540985","2340767","262","0.0","","","","","","",""
"28541019","2340767","573","0.0","","","","","","",""
"28541001","2340767","322","0.0","","","","","","",""
"28541011","2340767","415","0.058","","","","","","",""
"28541009","2340767","405","0.131","","","","","","",""
"28540994","2340767","307","41.0","","","","","","",""
"28541021","2340767","601","3.0","","","","","","",""
"28541017","2340767","432","2.0","","","","","","",""
"28541020","2340767","578","0.0","","","","","","",""
"28540996","2340767","312","0.002","","","","","","",""
"28540992","2340767","305","107.0","","","","","","",""
"28541012","2340767","417","2.0","","","","","","",""
"28540990","2340767","303","0.0","","","","","","",""
"28540980","2340767","204","0.08","","","","","","",""
"28541007","2340767","401","0.0","","","","","","",""
"28541045","2340768","204","1.9","","","","","","",""
"28541081","2340768","431","0.0","","","","","","",""
"28541069","2340768","334","0.0","","","","","","",""
"28541094","2340768","613","0.512","","","","","","",""
"28541085","2340768","578","0.0","","","","","","",""
"28541093","2340768","612","0.181","","","","","","",""
"28541098","2340768","619","0.007","","","","","","",""
"28541090","2340768","609","0.021","","","","","","",""
"28541078","2340768","418","0.55","","","","","","",""
"28541057","2340768","305","103.0","","","","","","",""
"28541082","2340768","432","2.0","","","","","","",""
"28541046","2340768","205","4.9","","","","","","",""
"28541107","2340768","645","0.4","","","","","","",""
"28541047","2340768","208","50.0","","","","","","",""
"28541097","2340768","618","0.061","","","","","","",""
"28541088","2340768","607","0.041","","","","","","",""
"28541103","2340768","628","0.002","","","","","","",""
"28541077","2340768","417","2.0","","","","","","",""
"28541100","2340768","621","0.0","","","","","","",""
"28541095","2340768","614","0.184","","","","","","",""
"28541070","2340768","337","0.0","","","","","","",""
"28541061","2340768","312","0.001","","","","","","",""
"28541068","2340768","328","1.1","","","","","","",""
"28541048","2340768","221","0.0","","","","","","",""
"28541076","2340768","415","0.061","","","","","","",""
"28541065","2340768","321","3.0","","","","","","",""
"28541096","2340768","617","0.41","","","","","","",""
"28541055","2340768","303","0.0","","","","","","",""
"28541058","2340768","306","159.0","","","","","","",""
"28541050","2340768","262","0.0","","","","","","",""
"28541051","2340768","263","0.0","","","","","","",""
"28541056","2340768","304","12.0","","","","","","",""
"28541071","2340768","338","0.0","","","","","","",""
"28541105","2340768","630","0.0","","","","","","",""
"28541063","2340768","319","83.0","","","","","","",""
"28541099","2340768","620","0.003","","","","","","",""
"28541092","2340768","611","0.058","","","","","","",""
"28541091","2340768","610","0.049","","","","","","",""
"28541084","2340768","573","0.0","","","","","","",""
"28541106","2340768","631","0.001","","","","","","",""
"28541067","2340768","323","0.03","","","","","","",""
"28541072","2340768","401","0.2","","","","","","",""
"28541087","2340768","606","1.11","","","","","","",""
"28541089","2340768","608","0.032","","","","","","",""
"28541083","2340768","435","2.0","","","","","","",""
"28541049","2340768","255","89.1","","","","","","",""
"28541108","2340768","646","0.058","","","","","","",""
"28541044","2340768","203","3.36","","","","","","",""
"28541054","2340768","301","126.0","","","","","","",""
"28541052","2340768","269","4.89","","","","","","",""
"28541059","2340768","307","39.0","","","","","","",""
"28541104","2340768","629","0.0","","","","","","",""
"28541053","2340768","291","0.0","","","","","","",""
"28541080","2340768","430","0.2","","","","","","",""
"28541060","2340768","309","0.43","","","","","","",""
"28541064","2340768","320","83.0","","","","","","",""
"28541062","2340768","317","1.8","","","","","","",""
"28541074","2340768","405","0.137","","","","","","",""
"28541102","2340768","627","0.0","","","","","","",""
"28541079","2340768","421","18.2","","","","","","",""
"28541101","2340768","626","0.029","","","","","","",""
"28541075","2340768","406","0.112","","","","","","",""
"28541086","2340768","601","8.0","","","","","","",""
"28541066","2340768","322","0.0","","","","","","",""
"28541073","2340768","404","0.059","","","","","","",""
"28541120","2340769","303","0.0","","","","","","",""
"28541116","2340769","263","0.0","","","","","","",""
"28541132","2340769","323","0.05","","","","","","",""
"28541167","2340769","627","0.0","","","","","","",""
"28541123","2340769","306","150.0","","","","","","",""
"28541131","2340769","322","0.0","","","","","","",""
"28541156","2340769","610","0.084","","","","","","",""
"28541109","2340769","203","3.27","","","","","","",""
"28541161","2340769","617","0.694","","","","","","",""
"28541172","2340769","645","0.688","","","","","","",""
"28541163","2340769","619","0.013","","","","","","",""
"28541147","2340769","432","0.0","","","","","","",""
"28541168","2340769","628","0.004","","","","","","",""
"28541122","2340769","305","101.0","","","","","","",""
"28541118","2340769","291","0.0","","","","","","",""
"28541133","2340769","328","1.1","","","","","","",""
"28541138","2340769","404","0.056","","","","","","",""
